dist,dgp,n,cfg,m,k,objective,parameter,theta_true,R,n_success,conv_rate,bias,rel_bias,rmse,rel_rmse,sd,fail_not_applicable,fail_optimizer,fail_boundary,fail_nonfinite
exponential,exp_m100,100,P3c,3,1,A,rate,0.01,300,296,0.9866666666666667,9.459499084123711e-05,0.009459499084123711,0.0013206318249374994,0.13206318249374993,0.0013194703362150333,0,4,0,0
exponential,exp_m100,100,P3c,3,1,B,rate,0.01,300,300,1.0,0.0002255314820682284,0.02255314820682284,0.0014621715500708074,0.14621715500708074,0.0014470872112936186,0,0,0,0
exponential,exp_m100,100,P3c,3,1,Bg,rate,0.01,300,300,1.0,8.862011895233168e-05,0.008862011895233168,0.0013183343908972178,0.13183343908972178,0.0013175501897134416,0,0,0,0
exponential,exp_m100,100,P3c,3,1,C,rate,0.01,300,300,1.0,8.79049463905629e-05,0.00879049463905629,0.0014007655492605491,0.14007655492605492,0.001400340442742603,0,0,0,0
exponential,exp_m100,100,P3c,3,1,D,rate,0.01,300,300,1.0,5.098343825850511e-05,0.005098343825850511,0.0013371587538598538,0.1337158753859854,0.0013384190077032365,0,0,0,0
exponential,exp_m100,100,P3w,3,1,A,rate,0.01,300,291,0.97,0.0002376815895328479,0.02376815895328479,0.0013295294440914148,0.13295294440914146,0.001310365041753792,0,9,0,0
exponential,exp_m100,100,P3w,3,1,B,rate,0.01,300,300,1.0,0.0003398012883323795,0.03398012883323795,0.0017416937199993716,0.17416937199993715,0.0017110790172902425,0,0,0,0
exponential,exp_m100,100,P3w,3,1,Bg,rate,0.01,300,300,1.0,0.0002462435860414395,0.02462435860414395,0.0013420259157904879,0.1342025915790488,0.0013214455656325192,0,0,0,0
exponential,exp_m100,100,P3w,3,1,C,rate,0.01,300,300,1.0,-1.873851836117421e-05,-0.0018738518361174211,0.0014988064071343487,0.14988064071343488,0.001501193342701234,0,0,0,0
exponential,exp_m100,100,P3w,3,1,D,rate,0.01,300,300,1.0,8.233986435880226e-05,0.008233986435880226,0.0013400011653806603,0.13400011653806604,0.001339703682341921,0,0,0,0
exponential,exp_m100,100,P5,5,1,A,rate,0.01,300,293,0.9766666666666667,0.00018614262878475715,0.018614262878475715,0.001256569134820222,0.12565691348202218,0.00124483158253678,0,7,0,0
exponential,exp_m100,100,P5,5,1,B,rate,0.01,300,300,1.0,0.00033999523034141527,0.03399952303414153,0.001571812192379771,0.1571812192379771,0.0015371639648961897,0,0,0,0
exponential,exp_m100,100,P5,5,1,Bg,rate,0.01,300,300,1.0,0.00019475429092842035,0.019475429092842035,0.001257295873111001,0.1257295873111001,0.001244196028726954,0,0,0,0
exponential,exp_m100,100,P5,5,1,C,rate,0.01,300,300,1.0,2.7175826270511155e-05,0.0027175826270511155,0.0013845019919017398,0.13845019919017398,0.0013865480970614097,0,0,0,0
